model,split,metric,mean,ci_low,ci_high,n
duo,val,f1_macro,0.899054044873302,0.8859979749170487,0.9121101148295553,5
duo,val,nll,0.43600485324859617,0.4211648342931354,0.45084487220405695,5
duo,val,lppd,-130.36545104980468,-134.8026183384756,-125.92828376113376,5
duo,val,brier,0.20223890244960785,0.18832798983998358,0.21614981505923211,5
duo,val,ece,0.04285988259474969,0.024727573838416034,0.060992191351083344,5
duo,val,mean_uncertainty,0.1112934947013855,0.10034682323258558,0.12224016617018542,5
duo,test,accuracy,0.8679180887372013,0.8629828707026221,0.8728533067717805,5
duo,test,f1_macro,0.8683042144623684,0.8630435470772413,0.8735648818474955,5
duo,test,nll,0.46960583329200745,0.4570004755254849,0.48221119105853,5
duo,test,lppd,-550.3780395507813,-565.1515117943375,-535.6045673072251,5
duo,test,brier,0.2150302618741989,0.20737318726110587,0.22268733648729194,5
duo,test,ece,0.03477884341323743,0.028435990820484085,0.04112169600599077,5
duo,test,mean_uncertainty,0.10387362241744995,0.09610497797546792,0.11164226685943197,5
base_de(2),test,accuracy,0.8715017064846415,0.8661204173107289,0.8768829956585542,5
base_de(2),test,f1_macro,0.8720614200708982,0.866517231400446,0.8776056087413503,5
base_de(2),test,nll,1.6821640729904175,1.596434320243859,1.767893825736976,5
base_de(2),test,lppd,-1971.4962890625,-2071.971511139659,-1871.0210669853407,5
base_de(2),test,brier,0.23225053548812866,0.22227035349026927,0.24223071748598804,5
base_de(2),test,ece,0.10114351870053458,0.0895488091337914,0.11273822826727775,5
base_de(2),test,mean_uncertainty,0.030122780799865724,0.02234356972262943,0.03790199187710202,5
sidekick_de(2),test,accuracy,0.7216723549488054,0.715298080438111,0.7280466294594998,5
sidekick_de(2),test,f1_macro,0.7208697474197792,0.7147232429336675,0.7270162519058908,5
sidekick_de(2),test,nll,3.439869499206543,3.386786505223791,3.492952493189295,5
sidekick_de(2),test,lppd,-4031.527099609375,-4093.7403913210287,-3969.3138078977213,5
sidekick_de(2),test,brier,0.4951362073421478,0.48514137031349114,0.5051310443708045,5
sidekick_de(2),test,ece,0.21139742136001588,0.20384585774534664,0.21894898497468512,5
sidekick_de(2),test,mean_uncertainty,0.06753369569778442,0.06351141386044187,0.07155597753512696,5
